title,rating,review,price_range,categorie,adresse,statut,heureOuverture,imageUrl,services,description,siteweb,telephone
IPI Lyon - École d'informatique,4.4,(22),Non défini,École d'informatique,7 Rue Jean-Marie Leclair. 69009 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipNU3SebAquGVt5HAh1jiZ7HgaP9vMIv-EuMJAU=w408-h272-k-no,Non défini,Non défini,ipi-ecoles.com,0472857111
IPI Lyon - École d'informatique,4.4,(22),Non défini,École d'informatique,7 Rue Jean-Marie Leclair. 69009 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipNU3SebAquGVt5HAh1jiZ7HgaP9vMIv-EuMJAU=w408-h272-k-no,Non défini,Non défini,ipi-ecoles.com,0472857111
C3RB INFORMATIQUE - LYON,Non défini,Non défini,Non défini,Entreprise de logiciels,3 Pl. Pierre Renaudel. 69003 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WjV0EaL_yc5h0IpMhHNaHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=355.46823&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,0565479302
Novatim | Maintenance et Infogérance informatique | Sécurité. Télétravail & Solutions Cloud,4.0,(9),Non défini,Assistance et services informatiques,Immeuble l'Europe. 62 Rue de Bonnel. 69003 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-MdnktLaE8GAxBv9M4NJpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.41982&pitch=0&thumbfov=100,Non défini,Non défini,novatim.com,0484314300
InfoGones,5.0,(2),Non défini,Entreprise de logiciels,1 Pl. des Terreaux. 69001 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mh3HnFXWRSO50FB6vhmskA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.48807&pitch=0&thumbfov=100,Non défini,Non défini,infogones.com,0481915340
Boot-Start,5.0,(3),Non défini,Consultant informatique,96 Bd Marius Vivier Merle. 69003 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipNWdpq20HfxL7iraAVH7up0Qlk6y1MKpVVFJMYQ=w408-h333-k-no,Non défini,Non défini,boot-start.com,0482535488
ACI INFORMATIQUE,Non défini,Non défini,Non défini,Assistance et services informatiques,Tour Part-Dieu. 129 Rue Servient. 69003 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AEUiChl7xEbajZP8Q75z1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.71564&pitch=0&thumbfov=100,Non défini,Non défini,aci-info.fr,0478257122
AM Consulting – DSI temps partagé. Audit système d'information. Gestion de projet informatique,Non défini,Non défini,Non défini,Consultant informatique,25 Av. Félix Faure. 69003 Lyon,Ouvert,19:00,https://lh5.googleusercontent.com/p/AF1QipNdBa4JusfldvRPRBfN4LJta55jdQnzTlScBTiT=w1040-h240-k-no,Non défini,Non défini,anthonymabille.fr,0618803575
Cowigo,4.3,(3),Non défini,Consultant informatique,73 Cr Albert Thomas. 69003 Lyon,Ouvert,20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fyXQ288SXMRgo1IiBVTHKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=107.06044&pitch=0&thumbfov=100,Non défini,Non défini,cowigo.fr,0465842270
ASTIAS INFORMATIQUE - LYON,4.9,(47),Non défini,Assistance et services informatiques,135 Av. Lacassagne. 69003 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GPWb25U8WLmdARHbZBLkDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.474102&pitch=0&thumbfov=100,Non défini,Non défini,astias.fr,0825590208
